"ASIN";"SKU";"Title";"Labels";"CostPeriodStartDate";"Cost";"ShippingCostPerOrder";"ShippingProfile";"SurchargeForShippingAbroad";"Value_of_unsellable_returns";"VAT";"VAT_DE_2020";"VAT_CATEGORY";"Hide";"Marketplace"
"B0FLWP1TPQ";"1CDC-57ZO-TZDR";"Salutem Vita – Frozen Toaster Donuts Boston Cream, 16 oz, Gift Set – Pack of 4";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0F78S2Z78";"1CDC-580Z-7V9M";"Salutem Vita – Honey Smoked Sliced Turkey Breast Deli Lunch Meat, Gift Set – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B09R82Z2G8";"1CDC-5815-V6O5";"Salutem Vita Advanced Detox Cleanse, Natural Detox & Cleanse with Milk Thistle, Licorice Powder, and More, Body Cleanse Detox for Women and Men, 126 Capsules, 3 Pack";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B0FC2VTSQR";"1CDC-57Z9-FG5Y";"Salutem Vita – Teriyaki Noodles Pasta Cup, 2.6 oz, Gift Set – Pack of 6";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0FLWP8D4F";"1CDC-581C-IW6F";"Salutem Vita – Strawberry Premium Cake Mix, Baking Essentials, 16 oz, Gift Set – Pack of 8";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B083F6SS8Q";"8M-52SZ-6T7K";"Epicorganicum Hair Growth Vitamins With Biotin. Supplement Hair Growth Products For Women & Men. Faster Hair Growth, Reduce Loss Hair. Compensates Deficiency Of Vitamins For Health Hair, Nails, Scalp.";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08ZQKDYZT";"8N-E5VA-4N02";"IDriveTech USB C HUB 6 in 1";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0873VNZM1";"DW-7KFV-J23F";"Premium Epic Organic Aloe Vera Gel - 100 Percent Pure for Face and Body After Sun Care (4 oz)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B089DW21JR";"P8-TYTX-0XU2";"USB C Hub Multiport Adapter - iDriveTech 4 in 1. USB Type C to 4 USB 3.0";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B078KGJ83Z";"WN-FAEM-OLQR";"Clairol Nice'n Easy Balayage Permanent Hair Dye, Brunettes Hair Color, 1 Count";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B07XZNQ85W";"ZI-8CZZ-71I2";"Night Cream Anti Aging Wrinkle Cream With Growth Factors (EGF, IGF-1, FGF and VEGF) & Niacinamide | Reduce Appearance of Acne Scars, Marks, Wrinkles, and Dark Spots - Helps with Old Scar Removal (1.7)";"";"";"12";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B075SJ6T7R";"ATVPDKIKX0DER";"Zippo 6-Hour Green Rechargeable Hand Warmer";"";"";"5";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B07VZ7FMT6";"L0-FCG0-0XRK";"USB C Hub Multiport Adapter - iDriveTech 10 in 1. 4x USB Ports, HDMI and VGA ports, SD/TF Card Reader, Gigabit Ethernet port, USB-C port. Compatible MacBook Pro and more Type C Devices (Thunderbolt 3)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B001EPRAGM";"CSL SL824-12";"CSL SL824-12 Creosote Log, 1-pack, Brown";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B00QABILLS";"1039900626";"Rit 88360 8 Oz Denim Blue Liquid Dye (Pack of 2)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
