upc,state,source_order,check_digit_valid,assigned_sku,marketplace_status,last_updated
756441908725,available,ancien 2024-10-21,true,,,
756441908732,available,ancien 2024-10-21,true,,,
756441908749,available,ancien 2024-10-21,true,,,
756441908756,available,ancien 2024-10-21,true,,,
756441908763,available,ancien 2024-10-21,true,,,
756441908770,available,ancien 2024-10-21,true,,,
756441908787,available,ancien 2024-10-21,true,,,
756441908794,available,ancien 2024-10-21,true,,,
756441908800,available,ancien 2024-10-21,true,,,
756441908817,available,ancien 2024-10-21,true,,,
756441908824,available,ancien 2024-10-21,true,,,
756441908831,available,ancien 2024-10-21,true,,,
756441908848,available,ancien 2024-10-21,true,,,
756441908855,available,ancien 2024-10-21,true,,,
756441908862,available,ancien 2024-10-21,true,,,
756441908879,available,ancien 2024-10-21,true,,,
756441908886,available,ancien 2024-10-21,true,,,
756441908893,available,ancien 2024-10-21,true,,,
756441908909,available,ancien 2024-10-21,true,,,
756441908916,available,ancien 2024-10-21,true,,,
756441908923,available,ancien 2024-10-21,true,,,
756441908930,available,ancien 2024-10-21,true,,,
756441908947,available,ancien 2024-10-21,true,,,
756441908954,available,ancien 2024-10-21,true,,,
756441908961,available,ancien 2024-10-21,true,,,
756441908978,available,ancien 2024-10-21,true,,,
756441908985,available,ancien 2024-10-21,true,,,
756441908992,available,ancien 2024-10-21,true,,,
756441909005,available,ancien 2024-10-21,true,,,
756441909012,available,ancien 2024-10-21,true,,,
756441909029,available,ancien 2024-10-21,true,,,
756441909036,available,ancien 2024-10-21,true,,,
756441909043,available,ancien 2024-10-21,true,,,
756441909050,available,ancien 2024-10-21,true,,,
756441909067,available,ancien 2024-10-21,true,,,
756441909074,available,ancien 2024-10-21,true,,,
756441909081,available,ancien 2024-10-21,true,,,
756441909098,available,ancien 2024-10-21,true,,,
756441909104,available,ancien 2024-10-21,true,,,
756441909111,available,ancien 2024-10-21,true,,,
756441909128,available,ancien 2024-10-21,true,,,
756441909135,available,ancien 2024-10-21,true,,,
756441909142,available,ancien 2024-10-21,true,,,
756441909159,available,ancien 2024-10-21,true,,,
756441909166,available,ancien 2024-10-21,true,,,
756441909173,available,ancien 2024-10-21,true,,,
756441909180,available,ancien 2024-10-21,true,,,
756441909197,available,ancien 2024-10-21,true,,,
756441909203,available,ancien 2024-10-21,true,,,
756441909210,available,ancien 2024-10-21,true,,,
756441909227,available,ancien 2024-10-21,true,,,
756441909234,available,ancien 2024-10-21,true,,,
756441909241,available,ancien 2024-10-21,true,,,
756441909258,available,ancien 2024-10-21,true,,,
756441909265,available,ancien 2024-10-21,true,,,
756441909272,available,ancien 2024-10-21,true,,,
756441909289,available,ancien 2024-10-21,true,,,
756441909296,available,ancien 2024-10-21,true,,,
756441909302,available,ancien 2024-10-21,true,,,
756441909319,available,ancien 2024-10-21,true,,,
756441909326,available,ancien 2024-10-21,true,,,
756441909333,available,ancien 2024-10-21,true,,,
756441909340,available,ancien 2024-10-21,true,,,
756441909357,available,ancien 2024-10-21,true,,,
756441909364,available,ancien 2024-10-21,true,,,
756441909371,available,ancien 2024-10-21,true,,,
756441909388,available,ancien 2024-10-21,true,,,
756441909395,available,ancien 2024-10-21,true,,,
756441909401,available,ancien 2024-10-21,true,,,
756441909418,available,ancien 2024-10-21,true,,,
756441909425,available,ancien 2024-10-21,true,,,
756441909432,available,ancien 2024-10-21,true,,,
756441909449,available,ancien 2024-10-21,true,,,
756441909456,available,ancien 2024-10-21,true,,,
756441909463,available,ancien 2024-10-21,true,,,
756441909470,available,ancien 2024-10-21,true,,,
756441909487,available,ancien 2024-10-21,true,,,
756441909494,available,ancien 2024-10-21,true,,,
756441909500,available,ancien 2024-10-21,true,,,
756441909517,available,ancien 2024-10-21,true,,,
756441909524,available,ancien 2024-10-21,true,,,
756441909531,available,ancien 2024-10-21,true,,,
756441909548,available,ancien 2024-10-21,true,,,
756441909555,available,ancien 2024-10-21,true,,,
756441909562,available,ancien 2024-10-21,true,,,
756441909579,available,ancien 2024-10-21,true,,,
756441909586,available,ancien 2024-10-21,true,,,
756441909593,available,ancien 2024-10-21,true,,,
756441909609,available,ancien 2024-10-21,true,,,
756441909616,available,ancien 2024-10-21,true,,,
756441909623,available,ancien 2024-10-21,true,,,
756441909630,available,ancien 2024-10-21,true,,,
756441909647,available,ancien 2024-10-21,true,,,
756441909654,available,ancien 2024-10-21,true,,,
756441909661,available,ancien 2024-10-21,true,,,
756441909678,available,ancien 2024-10-21,true,,,
756441909685,available,ancien 2024-10-21,true,,,
756441909692,available,ancien 2024-10-21,true,,,
756441909708,available,ancien 2024-10-21,true,,,
756441909715,available,ancien 2024-10-21,true,,,
756441909722,available,ancien 2024-10-21,true,,,
756441909739,available,ancien 2024-10-21,true,,,
756441909746,available,ancien 2024-10-21,true,,,
756441909753,available,ancien 2024-10-21,true,,,
756441909760,available,ancien 2024-10-21,true,,,
756441909777,available,ancien 2024-10-21,true,,,
756441909784,available,ancien 2024-10-21,true,,,
756441909791,available,ancien 2024-10-21,true,,,
