ordinal,sku,asin,disposition,recipe_keys,expected_total_units,current_other_slots,current_additional_after_card,approved_card_slots,hard_violation_codes,hold_reason_codes,relaxed_exceptions_applied,explicit_wrong_product_or_claim,source_row_evidence_sha256,row_evidence_sha256
46,HA-ASCR-ME3A,B0H85V287S,KEEP,PB_APPLE_CINNAMON_PROTEIN|PB_CHOCOLATE_FLAVORED_SPREAD,24,7,6,1,,,,false,ba699adda1314081fe894d7aa9c1fbaf50204b0942e4f5141e408f8ec576c458,10b577c364a1d41d54002e67a4b2ea34a168fcda366c6a9f5b8ce66efe4952a7
47,HD-ASEQ-MFAY,B0H83QW85C,KEEP,PB_APPLE_CINNAMON_PROTEIN,90,7,6,1,,,,false,879e4f5125bfcae54b27558c76391715ef6e6304d6bdf9abae2eaef56581b4be,f3454e73d5779edc6f7800f0e5ce9d7e891a03a90906912fce0bfba700d86e5e
48,HR-AS7Q-7ZDF,B0H856RRRK,KEEP,PB_PLAIN|PB_CHOCOLATE_FLAVORED_SPREAD,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,0e49da51d2da567c97b3c49b39d3c3da5149235e550e388bd3f6ab5caea186b7,e1b8afde001290c4dd21cbdc015811913ee8c235535e7fce2777d60d73c57e11
49,HU-ASMI-DN3X,B0H82YMT6K,KEEP,PB_BLUEBERRY_PROTEIN,30,7,6,1,,,,false,37ec304f0b8e812c2f9d24a126f005c639c601b8cfe064a057e28da8c648fa30,47e85650e2633bd7fe9bc7c117836a546e41ff1a12b4e90d9240af771c9c7886
50,HX-ASO8-XCL2,B0H832SD15,KEEP,PB_GRAPE,45,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,4d0be4ccb914c2cbd0d573785ecf7dd4e7d1656c447fe9a3c32b54569aad5b79,10914f371aa55bcbae22d77c0f3bf25bcc3c025f433d0ee979c9b82ed79e9393
51,HZ-ASPS-4L22,B0H857K38C,KEEP,WHOLE_WHEAT_PB_STRAWBERRY|PB_BLUEBERRY_PROTEIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,4391d8d83730a8d317fc0ed933f9b72180f8c1d3453e8f62eeb41a24010b6e96,68cd217b80b665fda7ae2da20b1a521bd2b6515b3a59fdfd8f3b2e1378112b63
52,JC-ASM4-XXW7,B0H84ZL156,KEEP,PB_APPLE_CINNAMON_PROTEIN|PB_BLACKBERRY,24,7,6,1,,,,false,e38a9f680e56970cf703afe03aebd78d9f82a08d057d795afb0effa94a86c3fc,4923997fd24a50fba5eb84b77d29d2b12246d3ec340d370d0a6ca8b8998d7986
53,JH-ASV9-Z46X,B0H8369PMK,KEEP,PB_APPLE_CINNAMON_PROTEIN,24,7,6,1,,,,false,de00cca3d220306497c0e2693d8e07eb892f1d5377a77eb65db659439e16b305,70dd1fbbfb74357c04b5c5c589b7fd26e8134ebe09b2f997088c62e8f433a064
54,JL-ASUC-JUZE,B0H831MXGD,KEEP,PB_HONEY,45,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,85682c388f0cd9404339aca7906eecea2486dd71ef85252635804a8c735a7504,da52f94becae6e867f6aaad0e64e0e428678bdda89123a10ae070007598ae010
55,JS-AS5F-QB8T,B0H822TJ7C,KEEP,PB_APPLE_CINNAMON_PROTEIN,30,7,6,1,,,,false,06c767a1fd20dfd6ee6f85bdfea3ae695d7b62048ae41b6cd626e9af9007f222,1727b9919f2ce1b37ca4b3637f8575687143ae2a8cfad051b47ea44b0efceb01
