ASIN,SKU,count,arm,base_item_price,effective_price,lever
B0H83HNB3B,RQ-ASM7-T9NN,90,B,252.99,220.10,SALEPRICE_13
B0H83QW85C,HD-ASEQ-MFAY,90,B,252.99,220.10,SALEPRICE_13
B0H83VBTLT,DA-ASF0-D7RG,90,B,252.99,220.10,SALEPRICE_13
B0H83JJW1F,EX-ASC0-5CRL,120,B,297.99,259.25,SALEPRICE_13
B0H83MWTM7,AY-AS5F-JEY9,120,B,297.99,259.25,SALEPRICE_13
B0H83R4M3R,UY-AS5N-A2E4,120,B,297.99,259.25,SALEPRICE_13
B0H83S1LDG,YM-AS7P-ZX44,120,B,297.99,259.25,SALEPRICE_13
B0H83T9QZV,ZY-ASZ4-QM5U,120,B,297.99,259.25,SALEPRICE_13
B0H83TSB5J,ZC-ASDC-3QMV,120,B,297.99,259.25,SALEPRICE_13
B0H8422DQ1,CN-ASG6-892G,120,B,297.99,259.25,SALEPRICE_13
