SKU	ASIN	SellingVenue	MinSellingPrice	MaxSellingPrice	PurchaseCost	RepricingModelID
743269735930	B0FL2TNJWL	AmazonUS	118.17	136.35	90.90	59021
743269735947	B0FL2TXRW1	AmazonUS	160.03	184.65	123.10	59021
743269735954	B0FL2VXNWJ	AmazonUS	242.97	280.35	186.90	59021
743269735961	B0FL2TWMQM	AmazonUS	66.95	77.25	51.50	59021
743269735978	B0FL2X2G7S	AmazonUS	118.17	136.35	90.90	59021
743269735985	B0FL2X4WZN	AmazonUS	160.03	184.65	123.10	59021
743269735992	B0FL2WXMST	AmazonUS	242.97	280.35	186.90	59021
743269740576	B0G2BGM7RW	AmazonUS	66.95	77.25	51.50	59021
743269740583	B0G2BGKHWR	AmazonUS	107.77	124.35	82.90	59021
743269740590	B0G2BGNSPD	AmazonUS	118.17	136.35	90.90	59021
743269740606	B0G2BGYZ9C	AmazonUS	216.97	250.35	166.90	59021
743269740613	B0G2BGN533	AmazonUS	72.15	83.25	55.50	59021
743269740620	B0G2BHCZHG	AmazonUS	118.17	136.35	90.90	59021
743269740637	B0G2BH1H1V	AmazonUS	160.03	184.65	123.10	59021
743269740644	B0G2BDGSP9	AmazonUS	242.97	280.35	186.90	59021
743269740699	B0G2BD1WQD	AmazonUS	72.15	109.33	55.50	59021
743269740705	B0G2BHQMDD	AmazonUS	118.17	191.85	90.90	59021
743269740712	B0G2BH33CZ	AmazonUS	160.03	252.06	123.10	59021
743269740729	B0G2BGSWC6	AmazonUS	242.97	375.38	186.90	59021
743269740736	B0G2BGGBWG	AmazonUS	66.95	77.25	51.50	59021
743269740743	B0G2BGH2B5	AmazonUS	107.77	124.35	82.90	59021
743269740750	B0G2BH6V64	AmazonUS	118.17	136.35	90.90	59021
743269740767	B0G2BJPVJX	AmazonUS	216.97	250.35	166.90	59021
743269740774	B0G2BJWCC5	AmazonUS	66.95	77.25	51.50	59021
743269740781	B0G2BFB4RF	AmazonUS	118.17	136.35	90.90	59021
743269740798	B0G2BHT234	AmazonUS	133.77	154.35	102.90	59021
743269740804	B0G2BHNV1W	AmazonUS	242.97	280.35	186.90	59021
743269740811	B0G2BHSRPY	AmazonUS	56.55	65.25	43.50	59021
743269740828	B0G2BG1LF5	AmazonUS	97.37	112.35	74.90	59021
743269740835	B0G2BJTPD7	AmazonUS	118.17	136.35	90.90	59021
743269740842	B0G2BH34LJ	AmazonUS	206.57	238.35	158.90	59021
743269740859	B0G2N3C3SF	AmazonUS	66.95	77.25	51.50	59021
743269740866	B0G2N5N7QB	AmazonUS	118.17	136.35	90.90	59021
743269740873	B0G2N4YSTC	AmazonUS	160.03	184.65	123.10	59021
743269740880	B0G2N4QCZ2	AmazonUS	237.77	274.35	182.90	59021
743269740897	B0G2N4WJL4	AmazonUS	66.95	77.25	51.50	59021
743269740903	B0G2N4N227	AmazonUS	118.17	136.35	90.90	59021
743269740910	B0G2N7265F	AmazonUS	160.03	184.65	123.10	59021
743269740927	B0G2N28L89	AmazonUS	237.77	274.35	182.90	59021
743269740934	B0G2N7M9HG	AmazonUS	66.95	77.25	51.50	59021
743269740941	B0G2N4QCYX	AmazonUS	118.17	136.35	90.90	59021
743269740958	B0G2N2BMDD	AmazonUS	160.03	184.65	123.10	59021
743269740965	B0G2N6K84D	AmazonUS	237.77	274.35	182.90	59021
743269740972	B0G2N43YHG	AmazonUS	66.95	77.25	51.50	59021
743269740989	B0G2N2DKL2	AmazonUS	118.17	136.35	90.90	59021
743269740996	B0G2N5BF6Q	AmazonUS	160.03	184.65	123.10	59021
743269741009	B0G2N3Z8SP	AmazonUS	237.77	274.35	182.90	59021
743269741016	B0G2N24WSL	AmazonUS	66.95	77.25	51.50	59021
743269741023	B0G2N567JB	AmazonUS	118.17	136.35	90.90	59021
743269741030	B0G2N42YFV	AmazonUS	160.03	184.65	123.10	59021
743269741047	B0G2N6RKL8	AmazonUS	237.77	274.35	182.90	59021
743269741054	B0G2N4ZBBX	AmazonUS	66.95	77.25	51.50	59021
743269741061	B0G2NZ39J2	AmazonUS	118.17	136.35	90.90	59021
743269741078	B0G2N3HRDT	AmazonUS	160.03	184.65	123.10	59021
743269741085	B0G2N4XVS2	AmazonUS	237.77	274.35	182.90	59021
743269741092	B0G2N2CXF6	AmazonUS	66.95	77.25	51.50	59021
743269741108	B0G2N43VXS	AmazonUS	118.17	136.35	90.90	59021
743269741115	B0G2NTZKW9	AmazonUS	160.03	184.65	123.10	59021
743269741122	B0G2N52BWV	AmazonUS	237.77	274.35	182.90	59021
743269741139	B0G2N287HD	AmazonUS	66.95	77.25	51.50	59021
743269741146	B0G2N5X252	AmazonUS	118.17	136.35	90.90	59021
743269741153	B0G2N4KL6H	AmazonUS	160.03	184.65	123.10	59021
743269741160	B0G2N4T7B4	AmazonUS	237.77	274.35	182.90	59021
743269741177	B0G2N725Q9	AmazonUS	66.95	77.25	51.50	59021
743269741184	B0G2N7GKG7	AmazonUS	118.17	136.35	90.90	59021
7Z-OISJ-FE5O	B0DQ2QGQJX	AmazonUS	120.77	139.35	92.90	59021
8SUPBS	B0DQ3QKDXC	AmazonUS	74.75	86.25	57.50	59021
9R-AG2D-PY4Y	B0DQ5FKVD6	AmazonUS	118.17	136.35	90.90	59021
9SUPBS	B0DQ3SXV39	AmazonUS	114.27	131.85	87.90	59021
9V-GJYN-MKSR	B0DQ945P4Z	AmazonUS	170.43	196.65	131.10	59021
AK-OB6U-I83U	B0DQ5HBWFT	AmazonUS	74.75	111.00	57.50	59021
AP-5XVY-3431	B0DQ1H639L	AmazonUS	170.43	196.65	131.10	59021
CP-WW9L-NHHM		AmznUS3	43.55	99.65	33.50	59021
E2-FX2R-S3T4	B0DQ62R6X1	AmazonUS	160.03	184.65	123.10	59021
E8-PPW1-TSFZ	B0DQ1LLPGX	AmazonUS	160.03	184.65	123.10	59021
ED-Q6AS-APDL	B0DQ1ZFZ5N	AmazonUS	118.17	136.35	90.90	59021
EN-1DSI-L8S3	B0DQ55MSHR	AmazonUS	133.77	166.40	102.90	59021
EP-TBZP-CZWJ	B0DQ5HFF3G	AmazonUS	114.27	131.85	87.90	59021
ET-1ZUM-CYYD	B0DQ5F5XDB	AmazonUS	245.57	283.35	188.90	59021
F3-2X1R-MTQN	B0DQ549926	AmazonUS	74.75	111.00	57.50	59021
GU-7A0C-QQV5	B0DQ64PKV1	AmazonUS	118.17	136.35	90.90	59021
HG-6XAQ-B9PT	B0DQ187Z3B	AmazonUS	242.97	280.35	186.90	59021
KT-H8YZ-MH6H		AmznUS4	40.95	94.99	31.50	59021
LU-2DBK-0CDH	B0DQ62Z4ZR	AmazonUS	72.15	84.88	55.50	59021
MX-Y2H5-34HV	B0DQ5FPBSZ	AmazonUS	242.97	280.35	186.90	59021
NP-DBF3-4Q53	B0DQ1NQC6F	AmazonUS	114.27	131.85	87.90	59021
OQ-2DBR-O1H8	B0DQ1GNJG8	AmazonUS	133.77	166.50	102.90	59021
P5-EYLN-3YHG	B0DQ92QQ56	AmazonUS	66.95	77.25	51.50	59021
PR-POPD-8V4L		AmznUS4	66.95	79.90	51.50	59021
PX-NL8T-1DSN	B0DQVKHDXZ	AmazonUS	232.57	268.35	178.90	59021
Q1-PEER-QR59	B0DQ5DN5M1	AmazonUS	120.77	139.35	92.90	59021
Q3-CP1Q-BUE3	B0DQ54MM43	AmazonUS	242.97	280.35	186.90	59021
R5-Y88E-SAJC	B0DQ1CWBD6	AmazonUS	245.57	283.35	188.90	59021
RN-5UG3-P44W	B0DQ5GFXHT	AmazonUS	133.77	166.40	102.90	59021
RX-4EAR-OIV7	B0DQ1J7YHC	AmazonUS	242.97	280.35	186.90	59021
SQ-TKFA-YQR7	B0DQ1J1Q6N	AmazonUS	133.77	222.00	102.90	59021
T4-Y0G0-ZHII	B0DQ2PWTDM	AmazonUS	74.75	86.25	57.50	59021
TD-IAJY-LW40	B0DQ185SRH	AmazonUS	160.03	228.23	123.10	59021
TI-PYPH-ARL3	B0DQ1XB34D	AmazonUS	242.97	320.00	186.90	59021
V2-049D-3EGU	B0DQ95N73D	AmazonUS	118.17	136.35	90.90	59021
VY-DG31-67FN	B0DQ5DF9GJ	AmazonUS	72.15	83.25	55.50	59021
W0-RYOT-QMP7	B0DQ2W2GDK	AmazonUS	245.57	310.00	188.90	59021
WP-7XFG-JIB0	B0DQ2QKCG4	AmazonUS	133.77	154.35	102.90	59021
X3-WVW4-PTJY		AmznUS3	48.75	81.98	37.50	59021
XA-QV1N-WUQP	B0DQ1872RD	AmazonUS	120.77	181.67	92.90	59021
Z1-026E-4UJA	B0DQVJ7J7P	AmazonUS	120.77	139.35	92.90	59021
ZI-OOJH-O3JP	B0DQ97R632	AmazonUS	227.37	262.35	174.90	59021
ZR-MKZK-5DUQ	B0DQ5GFZN7	AmazonUS	74.75	115.75	57.50	59021
