ordinal,sku,asin,status,other_slot_count,slot_indices,approved_card_slots,approved_card_exact_slot_1,additional_after_fixed_card,additional_count_4_to_6,relaxed_relevant_additional,obvious_irrelevant_additional,unknown_relevance_additional,slots_contiguous,exact_urls_unique,exact_asset_sha256_unique,known_true_visual_duplicate_count,local_binary_evidence_complete,fresh_secondary_binary_evidence_count,current_matches_sealed_after,remote_url_reachability_freshly_checked,needs_fix_reasons,unknown_reasons,listing_sha256,row_evidence_sha256
61,KN-ASYZ-ST4M,B0H83XBXHX,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,09be0285d255c2d8e0f379b70f3717ac7ab7abeff443e2738196700a4f2ed592,952e2f70cd46c95864d9c105136f3c71d3878d90d72f27d737ddd62ea48e1574
62,KP-ASYC-RN84,B0H83FYZR3,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,59197b40e8c342b58fcee031461eb5b4cadccb7d1d171f18ddfb7029b6ed1ab8,0155499a4145a332369608a9d1f108214bca031df8519f6669ba10272ec5517c
63,LH-ASP7-KZR4,B0H82XNFRW,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,1e0c1e91613e621bd91b4f2a7378c39c5675d68350003d779378bacc2d4db1d3,ff75cfd0859e44737be0df429a6caecd26ca975ebe4eed7a0daf50eb700141fb
64,LJ-ASYO-FWJK,B0H853SHVC,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,9a0aa39caeaf8f1744185e4ec474884f6657962573a0e9e98e44c10363714239,c76a5ade330b8a465cc4bf492c72caa9876f53bad5cc6c7b6932e6a030e8969c
65,LK-AS7X-K43B,B0H84CGGXL,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,c5922a8f98bc205b2942044cbf753b3a6d4d5787178a2eef3a2ac363d97b2ef1,c97270f776605e38048ac8b3191ddb09793846a49cbedbf019c8445122e72fae
66,LP-AS9J-HSVB,B0H82B7KK1,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,34a4b39ab6fc6d67d4bc405c98047bb3ffb7cb989a562d3b6bba417b7ce19f38,9bab0451db1c84118a7c764de7c204d429980b1069bcfa4b6e93126688dfec0f
67,LU-ASK0-LSDF,B0H84YZDB7,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,c66c144acb81b553d2687321f3e0e95a90f0e9afcc9e1a76ae27f34eba9b62cf,9791360a6c71a15626fb3fd16dd5504ca8fed6deb6a5cf40b0ff67d0b2e3f510
68,ME-AS1I-SEX2,B0H83RVHNF,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,14b36223920c42e8dd36f6d4b54946df3a871fc83873a32f098cfa4866cfc1bb,374b8d1dd02d85ba056de3573a961dd852e81bb543cb1af5d303e2e774dcb6f2
69,MF-AS0J-YRT4,B0H82NHQCL,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,4a76b46bb54f4bd282b300a34b5299324e50a505ee4336fb50541847f83eed74,f0479e5dcd258120e0cabe3cb434b0a0c87f6f395b34d278467a865fac060c30
70,MP-ASYO-QNU2,B0H84Z9KWL,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,8ad200bffe60b5b99ba70429186778b2ec582d036f07912d331f21052dff96e5,bc5d019f399fcd671f87738d3e7798aa053d9513dee9bcefd5e5b8daebf86914
